,FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column,ZIP GROUP
78,THOMASTON POLICE DEPARTMENT,158 MAIN ST,THOMASTON,CT,6787,1332018,True,POINT (-73.07488 41.67284),6700
79,GLASTONBURY POLICE DEPARTMENT,2108 MAIN STREET,GLASTONBURY,CT,6033,1418016,True,POINT (-72.60807 41.70634),6000
80,MONTVILLE POLICE DEPARTMENT,911 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,6382,1145845,True,POINT (-72.10732 41.45133),6300
81,CVS PHARMACY #123,519 BOSTON POST RD,OLD SAYBROOK,CT,6475,2154041,True,POINT (-72.375674 41.29926),6400
82,DARIEN POLICE DEPARTMENT,25 HECKER AVE,DARIEN,CT,6820,1177013,True,POINT (-73.47923 41.06943),6800
83,COLCHESTER RESIDENT TROOPERS OFFICE,127 NORWICH AVE,COLCHESTER,CT,6415,1064593,True,POINT (-72.32776 41.57469),6400
84,NEW LONDON POLICE DEPARTMENT,5 GOVERNOR WINTHROP BLVD,NEW LONDON,CT,6320,1067834,True,POINT (-72.09589 41.35661),6300
85,EAST HAMPTON POLICE DEPARTMENT,1 COMMUNITY DRIVE,EAST HAMPTON,CT,6424,1531447,True,POINT (-72.49975 41.60146),6400
86,UNIVERSITY OF CONNECTICUT POLICE DEPARTMENT,126 NORTH EAGLEVILLE ROAD,STORRS MANSFIELD,CT,6269,1442706,True,POINT (-72.26155 41.80924),6200
87,SOMERS POLICE DEPARTMENT,451 MAIN ST,SOMERS,CT,6071,1234907,True,POINT (-72.45932 41.98417),6000
88,WEST HARTFORD POLICE DEPARTMENT,103 RAYMOND RD,WEST HARTFORD,CT,6107,1615872,True,POINT (-72.73895 41.75889),6100
89,DESPP DIVISION OF STATE POLICE TROOP I,631 AMITY RD,BETHANY,CT,6524,1342215,True,POINT (-72.99397 41.43322),6500
90,CVS PHARMACY #718,24 PERSHING DR # 36,ANSONIA,CT,6401,1676461,False,POINT (-73.08376 41.33363),6400
91,HEBRON RESIDENT TROOPER'S OFFICE,44 MAIN ST,HEBRON,CT,6248,1401473,True,POINT (-72.36248 41.65865),6200
92,CVS PHARMACY #364,308 MAIN STREET EXT,MIDDLETOWN,CT,6457,1676968,False,POINT (-72.63977 41.54866),6400
93,CHESHIRE POLICE UNION,500 HIGHLAND AVE,CHESHIRE,CT,6410,1115844,True,POINT (-72.89921 41.51126),6400
94,NORWALK DEPARTMENT OF POLICE SERVICE,1 MONROE ST,NORWALK,CT,6854,1221357,True,POINT (-73.41897 41.09659),6800
95,MAIN STREET PHARMACY 3 LLC,2117 BOSTON AVE,BRIDGEPORT,CT,6610,1676580,False,POINT (-73.155255 41.192539),6600
96,REDDING POLICE DEPT.,96 HILL RD,REDDING,CT,6896,1057464,True,POINT (-73.38298 41.30387),6800
97,DESPP DIVISION OF STATE POLICE TROOP E,P.O. BOX 306,UNCASVILLE,CT,6382,1343492,True,POINT (-72.11361 41.42918),6300
98,DANBURY POLICE DEPARTMENT,375 MAIN STREET,DANBURY,CT,6810,1453343,True,POINT (-73.45729 41.40062),6800
99,GREENWICH POLICE DEPARTMENT,11 BRUCE PL,GREENWICH,CT,6830,1035891,True,POINT (-73.62478 41.02602),6800
100,CVS PHARMACY #1966,1057 BOSTON POST RD,GUILFORD,CT,6437,1676972,False,POINT (-72.68501 41.28855),6400
101,WILTON POLICE DEPARTMENT,240 DANBURY RD,WILTON,CT,6897,1035797,True,POINT (-73.42673 41.19),6800
102,BLOOMFIELD POLICE DEPARTMENT,785 PARK AVE,BLOOMFIELD,CT,6002,1234064,True,POINT (-72.73388 41.82847),6000
103,PLAINFIELD POLICE DEPARTMENT,210 NORWICH RD,PLAINFIELD,CT,6374,1294297,True,POINT (-71.90479 41.70542),6300
104,SUFFIELD POLICE DEPARTMENT,911 MOUNTAIN RD,SUFFIELD,CT,6078,1335205,True,POINT (-72.68487 41.98495),6000
105,ENFIELD POLICE DEPARTMENT,293 ELM ST,ENFIELD,CT,6082,1070221,True,POINT (-72.5551 41.99735),6000
106,CVS PHARMACY #1080,817 BANK ST,NEW LONDON,CT,6320,1676986,False,POINT (-72.10709 41.34877),6300
107,NAUGATUCK POLICE DEPARTMENT,211 SPRING ST,NAUGATUCK,CT,6770,1070785,True,POINT (-73.05431 41.50469),6700
108,MIDDLEBURY POLICE DEPT.,200 SOUTHFORD ROAD,MIDDLEBURY,CT,6762,2206784,True,POINT (-73.137679 41.518361),6700
109,ST. VINCENT'S OUTPATIENT PHARMACY,2800 MAIN STREET,BRIDGEPORT,CT,6606,2002416,False,POINT (-73.202955 41.200782),6600
110,WOLCOTT POLICE DEPT.,225 NICHOLS RD,WOLCOTT,CT,6716,1055726,True,POINT (-72.98357 41.57877),6700
111,RIDGEFIELD POLICE DEPT.,76 EAST RIDGE RD,RIDGEFIELD,CT,6877,1035832,True,POINT (-73.49381 41.28053),6800
112,VERNON POLICE DEPARTMENT,725 HARTFORD TPKE,VERNON,CT,6066,1165866,True,POINT (-72.46496 41.8394),6000
